3912 1663 2642    64 148 274  
3935 0 0    104 104 39  
3935 1688 2650    86 96 191  
3915 7368 8559    83 130 155  
3901 0 0    92 158 58  
3861 0 0    73 114 36  
0 1744 2630    74 84 172  
3969 0 0    196 68 37  
3963 1695 2629    93 81 165  
3916 1685 2625    126 262 182  
3911 0 0    152 314 36  
3900 1659 2649    75 128 165  
3916 0 0    112 130 42  
3913 0 0    89 132 41  
3914 1678 2653    110 143 159  
3906 1662 2644    67 106 199  
3930 1692 0    116 83 182  
3894 0 0    56 140 47  
3940 0 0    130 87 37  
3915 0 0    86 186 34  
0 0 0    102 135 62  
3928 0 0    104 59 40  
3909 1679 2667    97 215 164  
3930 1693 2653    100 115 38  
3938 1714 2679    181 142 94  
0 1702 2646    138 119 182  
3905 0 0    68 111 41  
3934 0 0    110 83 65  
3925 1677 2645    101 130 158  
3949 0 0    125 116 34  
3917 1683 2655    96 170 178  
3910 1673 2655    87 86 163  
3945 1691 2651    82 115 177  
0 13135 2639    127 148 43  
3924 0 0    124 103 36  
3931 1680 2642    92 68 159  
3919 0 0    76 91 39  
3950 0 0    128 46 32  
3925 0 0    96 88 39  
3921 1675 2643    44 93 175  
3912 1666 2646    73 103 163  
3903 1659 2647    59 150 282  
3904 0 0    78 106 36  
3927 1694 2658    66 141 135  
3890 0 0    59 107 46  
3937 0 0    189 84 43  
3917 1678 2651    87 131 184  
3911 0 0    88 78 38  
3917 1689 2661    112 106 176  
3927 1689 2656    100 99 146  
3916 1678 2649    65 109 159  
3923 1680 2649    80 89 156  
0 0 0    171 107 34  
3910 1680 2662    60 112 160  
3910 1664 2645    62 115 162  
3929 1693 2654    98 88 141  
3919 1687 2660    139 286 191  
3898 1660 2651    56 91 141  
3923 1932 2617    95 126 164  
3920 1709 2682    153 212 81  
3924 1701 2666    100 140 137  
3886 1653 0    79 96 140  
3917 0 0    70 109 40  
3844 1662 0    74 123 41  
3904 1666 2652    106 159 262  
3931 0 0    88 129 34  
0 0 0    112 113 34  
0 0 2631    48 120 272  
3908 1676 2659    72 174 190  
3903 0 0    74 79 44  
3941 1688 2637    72 81 129  
3921 1699 2666    87 109 108  
3914 0 0    106 124 35  
3903 1664 2651    55 67 192  
3917 1689 2659    125 154 163  
3894 0 0    68 150 51  
3940 1688 2636    85 92 214  
3927 1665 2628    66 99 183  
3938 1680 2631    91 135 170  
0 0 0    34 25 36  
3922 0 0    100 115 75  
15380 1700 0    78 90 117  
3944 1697 0    131 117 191  
3931 1637 2598    111 93 339  
3937 0 0    93 94 34  
3897 1681 2674    96 124 94  
3917 1673 2648    68 147 151  
0 0 0    109 147 36  
3876 1652 2666    69 122 145  
3904 0 0    101 137 52  
0 0 0    106 184 143  
3920 0 0    92 135 42  
3905 0 0    70 96 37  
3900 1658 2650    61 110 177  
3906 1668 2653    54 108 207  
3911 7453 0    72 104 112  
3914 0 0    63 107 25  
3925 1693 2659    106 109 164  
0 0 8698    160 119 106  
3950 1665 2606    167 110 377  
3915 1677 2652    128 126 179  
3911 1695 2671    65 63 113  
3927 1686 2650    110 187 183  
3931 1667 2636    177 291 78  
3917 0 0    67 88 37  
3919 0 0    77 86 60  
3917 0 0    85 136 37  
3926 0 0    136 94 50  
3909 0 0    71 110 48  
3916 1683 0    112 81 119  
0 1672 0    93 106 41  
3927 0 0    68 108 44  
3917 0 0    98 109 40  
3926 0 0    126 124 43  
0 0 2656    98 108 150  
3928 0 0    132 103 62  
3920 0 0    95 148 38  
3902 0 0    90 110 38  
3917 0 0    98 119 48  
3930 0 0    86 77 37  
3914 0 0    58 94 41  
3927 0 0    97 101 35  
3918 1668 0    89 149 337  
0 0 0    173 126 67  
3931 1683 2642    113 107 224  
3912 0 0    79 153 38  
3921 0 0    62 121 34  
3940 7373 8537    241 224 56  
3924 0 0    118 106 36  
0 0 2671    104 172 110  
3914 0 0    67 117 35  
3940 0 0    128 67 40  
0 0 2630    58 244 161  
3924 0 0    96 76 65  
3866 0 0    47 309 48  
3926 0 0    116 94 49  
3943 1684 2631    109 93 200  
3906 0 0    54 106 38  
3911 0 0    100 164 58  
3923 1668 2634    101 68 193  
3948 0 0    119 70 40  
3928 0 0    240 227 44  
3903 0 0    66 104 35  
3917 1688 2662    94 132 104  
3954 0 0    117 132 40  
3901 0 0    88 123 36  
3904 1666 2652    79 112 199  
3902 1696 2681    60 160 90  
3903 0 0    73 192 33  
3943 0 0    157 159 36  
3918 1687 2659    77 100 121  
3913 1670 2646    99 100 368  
3920 0 0    62 75 46  
3940 0 0    70 87 36  
3932 0 0    94 100 46  
3920 1940 2918    124 90 135  
3925 0 0    103 120 36  
3917 1676 0    66 137 182  
3919 0 0    127 133 39  
3925 1722 0    90 136 79  
3922 0 0    76 126 39  
3925 0 0    133 110 31  
3912 0 8823    69 128 33  
3918 0 0    116 142 37  
0 0 2645    85 102 150  
3903 0 0    75 157 38  
3908 0 0    93 91 45  
3936 1679 2632    131 96 187  
3922 0 0    91 117 37  
3929 1680 2640    71 79 147  
3889 0 0    98 172 36  
3919 0 0    102 103 34  
0 0 0    106 143 31  
3948 0 0    104 103 38  
3916 0 0    261 279 38  
3928 1699 2662    91 143 155  
0 0 2679    41 120 86  
3940 0 0    82 107 34  
3927 0 0    85 97 37  
3925 0 0    108 153 39  
3927 1708 2675    217 271 140  
3926 0 0    104 99 43  
3934 1678 2634    73 113 152  
3923 1678 2646    71 118 174  
0 0 0    38 80 37  
3923 1697 2665    116 89 132  
0 1717 0    97 82 42  
3914 0 0    60 79 31  
3944 1679 2628    146 100 179  
3921 0 0    82 125 35  
3920 0 0    159 176 35  
3922 0 0    80 96 36  
3945 1682 2627    93 83 324  
3931 0 0    68 67 52  
3910 0 0    63 143 21  
3924 1672 2638    88 76 173  
3908 0 0    90 82 35  
3925 1707 2676    113 139 92  
3929 1670 0    89 78 173  
3941 0 0    121 86 39  
3920 1682 2657    53 139 157  
3894 0 0    78 119 34  
3940 1688 2639    93 61 50  
3921 0 0    67 72 35  
0 0 0    34 25 38  
0 0 0    32 25 41  
3942 1684 2632    103 123 180  
3937 0 0    133 75 34  
3538 0 0    49 120 159  
0 7428 2633    85 79 174  
0 0 0    85 90 251  
3932 7413 8587    88 99 118  
3928 1686 2651    90 83 184  
3928 1686 2648    69 96 132  
3929 1669 2637    61 112 183  
3922 1681 2648    101 113 258  
3951 0 0    118 91 40  
3909 1661 2642    64 132 316  
3920 1687 2663    78 98 169  
3924 1687 2655    64 98 124  
3907 0 0    107 223 56  
3914 0 0    79 116 27  
15472 0 0    120 121 33  
3908 1658 2641    81 116 186  
3900 0 0    82 113 37  
3916 0 0    80 79 55  
3977 0 0    67 26 38  
3924 0 0    76 151 36  
0 1825 2659    62 259 197  
3919 0 0    72 118 33  
3938 0 0    103 127 35  
3883 0 0    62 248 40  
3932 0 0    93 94 39  
3907 1684 0    89 90 118  
3993 1747 2647    264 190 218  
