3922 1678 2648    84 108 343  
0 8616 2662    48 120 98  
3921 0 0    88 120 36  
3890 1675 0    106 125 112  
3922 1687 2654    77 109 82  
3953 0 0    120 137 42  
3907 0 0    64 76 38  
3599 0 2595    92 224 40  
3918 1691 2659    88 107 143  
3936 1682 2638    94 66 160  
3901 0 0    65 86 46  
3954 1694 2628    222 122 249  
3933 1687 2644    108 112 183  
3925 1678 2642    96 169 169  
0 0 0    31 33 36  
3967 1684 2603    97 38 179  
0 1673 2633    97 100 181  
3898 1661 2650    71 104 132  
3925 1683 2647    77 126 138  
3910 0 0    80 139 59  
3904 1744 14452    75 154 255  
0 1710 2637    53 131 166  
3936 1689 2640    105 121 133  
3910 1679 2657    89 116 179  
3920 0 0    111 115 64  
3894 1697 2707    77 587 95  
0 0 2632    58 85 168  
3912 1666 2644    63 99 166  
3937 1684 2635    65 90 142  
3900 0 0    176 98 35  
0 0 0    35 264 34  
3916 1691 2663    137 245 219  
3907 0 0    77 94 57  
3960 1684 2610    73 62 146  
0 0 0    35 135 40  
3922 1680 2646    86 100 219  
3915 1665 2641    76 105 240  
3918 1710 2681    78 100 136  
3906 0 0    78 68 43  
3932 1683 2639    131 85 188  
3922 1705 0    168 196 136  
0 0 2725    123 187 104  
3913 1775 2752    70 86 91  
0 0 2647    55 131 176  
3920 1677 2644    93 117 155  
3888 1632 2637    78 109 177  
3890 0 0    109 99 93  
3931 1701 2659    94 98 118  
3897 0 0    64 98 35  
3925 1683 2646    70 82 146  
0 0 0    39 121 45  
3906 1672 2657    77 126 152  
3906 1677 2658    76 96 132  
3932 0 0    119 80 39  
3936 0 0    69 139 33  
3901 1658 2646    42 102 203  
3931 13008 14393    80 118 35  
3896 1671 2667    88 116 160  
3911 1686 2663    84 101 101  
3900 1670 2657    126 259 287  
3939 1697 2647    99 55 98  
3940 1683 2633    101 109 147  
3915 1675 2649    70 69 159  
3915 1695 2669    78 111 109  
0 0 2655    112 157 245  
3915 0 0    77 103 36  
3928 13121 14514    154 382 164  
3942 0 0    157 150 44  
3915 0 0    82 106 40  
3931 0 0    107 89 43  
3935 0 0    119 105 37  
